s_m,sfov_m
0.0,1.0116704691204907
11.593594037571862,1.0116704691204907
23.187188075143723,1.0116704691204907
34.780782112715585,1.0116704691204907
46.374376150287446,1.0116704691204907
57.96797018785931,1.0116704691204907
69.56156422543117,1.0116704691204907
81.15515826300303,1.0116704691204907
92.74875230057489,1.0116704691204907
104.34234633814675,12.603651360190801
115.93594037571862,24.195632400689632
127.52953441329048,35.787613553075566
139.12312845086234,47.37967939643114
150.7167224884342,58.97175200593239
162.31031652600606,70.56373293494624
173.90391056357794,82.15571334885223
185.49750460114979,93.74769322035381
197.09109863872163,105.33967382926149
208.6846926762935,116.93165375348559
220.27828671386538,128.52363381213235
231.87188075143723,140.11561305847815
243.46547478900908,151.7075930697256
255.05906882658095,163.299572583218
266.65266286415283,174.89155336568854
278.2462569017247,186.48368543402432
289.8398509392965,198.07559653646197
301.4334449768684,209.66750995019996
313.0270390144403,221.25942347607503
324.6206330520121,232.85133719538715
336.21422708958397,244.44325091877812
347.8078211271559,256.0351656600333
359.4014151647277,267.62707992713365
370.99500920229957,279.2189953162473
382.5886032398714,290.8109105481613
394.18219727744327,302.402825687089
405.77579131501517,314.0375732905046
417.369385352587,325.5999426260811
428.96297939015886,337.2014406389329
440.55657342773077,348.79395164545986
452.1501674653026,360.3792336001782
463.74376150287446,371.9646329165249
475.3373555404463,383.55134207124667
486.93094957801816,395.1390108381634
498.52454361559006,406.72668205385366
510.1181376531619,418.3143528344419
521.7117316907338,429.9020171420995
533.3053257283057,441.48963618044075
544.8989197658775,453.07725133489265
556.4925138034494,464.66487352582794
568.0861078410212,476.252536729471
579.679701878593,487.84020992705877
591.2732959161649,499.42938209537147
602.8668899537367,511.0197014484364
614.4604839913087,522.610006426974
626.0540780288806,534.1913846005568
637.6476720664524,545.7683592791318
649.2412661040242,557.3545129391513
660.8348601415961,569.390506854838
672.4284541791679,580.535120701542
684.0220482167398,592.1256354892834
695.6156422543118,603.7161500752935
707.2092362918836,615.3066642135004
718.8028303294554,627.33507841459
730.3964243670273,638.4876923762424
741.9900184045991,650.0782057879096
753.583612442171,661.668719298976
765.1772064797428,673.2592325192949
776.7708005173147,685.2796477890973
788.3643945548865,696.440258728872
799.9579885924585,708.0307712325304
811.5515826300303,719.6212845976681
823.1451766676022,731.211775308794
834.738770705174,742.8022527739274
846.3323647427459,754.3924868360165
857.9259587803177,766.3984322148547
869.5195528178896,777.5696310610148
881.1131468554615,789.1582634609923
