s,v,beta,omega,n,xi,delta,F_dr
0.0,10.0,0.0,0.0,0.0,0.0,0.14575327156304824,369.457679729359
3.0,10.043575565549892,8.722585368267881e-05,0.001246081771551888,1.3032878928533932e-12,-3.1191423048276626e-05,0.14615903885523424,368.8311948692157
6.0,10.086766589228601,-0.00019917987755384192,0.0024850496553576584,0.00016810162096286976,0.0002949412454343445,0.14630000925976003,368.24311514636116
9.0,10.129587623199384,-0.000849980065252748,0.0037100300315091083,0.00045538287772750027,0.000974540845820256,0.1461428031046288,367.688134719977
12.0,10.172051609589479,-0.0018542222308403555,0.004914428661586694,0.0008290615304762629,0.0020167494312105533,0.14571666613538672,367.1646284724639
15.0,10.214170728100942,-0.003199358708607524,0.006091960255083588,0.001316638336677078,0.003412636356301193,-0.5232682381712281,366.72810940184235
18.0,10.255742757063127,-0.005015662658162106,0.005132237408012247,0.0019564650125002297,0.005151479942466298,-0.5232069416357009,366.3259621650853
21.0,10.297010814640148,-0.0065258004325608665,0.004144578788871717,0.0023639128837424305,0.0066053105413907895,-0.5231194557927303,365.93464092696297
24.0,10.3379810427256,-0.007727368472785961,0.0031350538679890557,0.0026024408871900785,0.007768275954701532,-0.5229874850978027,365.5554566439467
27.0,10.378659942991112,-0.008619695901123776,0.0021096273022194207,0.002725162142792715,0.008636470555470586,0.14430018101918332,365.2171096119349
30.0,10.419278174724187,-0.009063746155777234,0.0031473957645668463,0.0027754856205095355,0.009207817783569909,-0.5224328277874808,364.87498393939524
33.0,10.45940292128679,-0.009940060826025521,0.0021050717858240513,0.003207696345867918,0.010078693333879748,-0.521874345261633,364.5062694212516
36.0,10.499249202574209,-0.010506081724544758,0.001052855950013975,0.003623589882721323,0.01065006004583987,-0.5203479282789601,364.1508669070072
39.0,10.53882409738004,-0.010764425300553744,-4.330892312268178e-06,0.0040555207215961534,0.010921418976054616,-0.2834930677697897,363.8091093061399
42.0,10.578261892887006,-0.010732753794102401,-0.0012709712080202563,0.004526497267501396,0.010893792882753366,-0.18569719549669433,363.481260862886
45.0,10.6175053954385,-0.010348861658443434,-0.002623779778990748,0.005009609954915101,0.010510044160937078,-0.17052474777415005,363.167471059909
48.0,10.65650648361411,-0.009588660621033328,-0.003970430077604294,0.0054931528972589645,0.009748355084444407,0.5230452498883532,362.83965959981066
51.0,10.695039035949037,-0.008327800986157645,-0.0032879057923564017,0.005972231781905322,0.00861315539880939,0.5231322123746268,362.5456688139919
54.0,10.733331096425783,-0.007274880815073071,-0.0025869667987220373,0.006828287015534659,0.0076764354096700155,-0.15802917215586942,362.28902696886587
57.0,10.771613178199944,-0.006561687799451853,-0.0038690847947790118,0.008032939610894609,0.006942066505721283,-0.15647505167026127,361.9993997584296
60.0,10.809658714967787,-0.005500609797133338,-0.0051314960968349395,0.009174065167003895,0.005856244800708198,0.5232611207511029,361.695741746994
63.0,10.847248682957677,-0.003974203073542214,-0.004383731331824937,0.010240960336866242,0.004426808365645052,-0.1527150670807737,361.44311125726074
66.0,10.88483509422639,-0.002801250814931143,-0.0055914998205041444,0.01159876377895172,0.0032120999011822945,-0.1513645551903082,361.20320494239013
69.0,10.922203306963238,-0.0013099041737427838,-0.006772050843217246,0.01283129978838606,0.0016717480656427714,-0.14979061557289916,360.9823892955162
72.0,10.959359831387983,0.00048750137036850425,-0.007920104577742787,0.013916821591499894,-0.00018456614586304025,-0.14798816996673422,360.7811889615212
75.0,10.996311050854631,0.0025774671039364145,-0.009030681832320524,0.014825619029958706,-0.002345881289652771,-0.14595082544109753,360.60081277133145
78.0,11.03306336231556,0.004945436726726113,-0.01009916496461824,0.015520370201716392,-0.0047999255027341165,-0.14368092372072064,360.442385840789
81.0,11.069623137577254,0.007575916619540571,-0.011121370168668286,0.01595689995031014,-0.0075332203732421145,-0.14118558008425405,360.3067978683007
84.0,11.105996660344202,0.010452613233095064,-0.012093628823111682,0.01608498754428345,-0.01053137746300683,-0.1384749303753904,360.1947565189142
87.0,11.142190084312402,0.01355858930761692,-0.013012871445520397,0.01584869695906849,-0.013779263389413004,-0.13556126417954661,360.10685981237145
90.0,11.178209415313779,0.01687643868263855,-0.013876706446586276,0.015186680569424906,-0.017261074415900267,-0.1324139091894003,359.9794788511685
93.0,11.214046197453381,0.02038849862969137,-0.014683489680074525,0.01403278349217773,-0.020960504883286678,-0.12913598966843273,359.88661913528665
96.0,11.249708349988396,0.024077020460792437,-0.015432354738453747,0.01231677962550827,-0.02486092398859315,-0.12570000274749774,359.7804086199836
99.0,11.285192933823742,0.02792440778486063,-0.016123239958748557,0.009965089169163359,-0.028945527384715217,-0.12212210730990797,359.66060885928823
102.0,11.320496874173537,0.0319134136388344,-0.01675686677333568,0.006901756105838717,-0.03319769889914156,-0.11841861340976437,359.51136295753923
105.0,11.355613540274211,0.03602734450149056,-0.017334689191969503,0.0030489319143931805,-0.037601369081401416,-0.11460572529319998,359.3468905920308
108.0,11.390539447592696,0.04025021980844996,-0.017858813930769192,-0.0016731043317785037,-0.04214104917235621,-0.11069934116268243,359.17887149268927
111.0,11.425273671443763,0.044566916887744876,-0.018331897342513833,-0.007345549247226053,-0.04680180894057028,-0.1067148812837127,358.9965395224009
