s_m,sfov_m
0.0,3.3114112153578383
11.593594037571862,3.3114112153578383
23.187188075143723,3.3114112153578383
34.780782112715585,14.899737900632324
46.374376150287446,26.488061987431333
57.96797018785931,38.07638844595104
69.56156422543117,49.66525241322824
81.15515826300303,61.25361579748337
92.74875230057489,72.84193986579415
104.34234633814675,84.43026397939383
115.93594037571862,96.01858364616572
127.52953441329048,107.60690777498813
139.12312845086234,119.1952289806764
150.7167224884342,130.78354972150703
162.31031652600606,142.37187100621662
173.90391056357794,153.96018922195918
185.49750460114979,165.54851135183708
197.09109863872163,177.13708362302674
208.6846926762935,188.72561858880962
220.27828671386538,200.3136837298507
231.87188075143723,211.90175484610307
243.46547478900908,223.48982625470575
255.05906882658095,235.0778987837034
266.65266286415283,246.66597252354504
278.2462569017247,258.25404730427414
289.8398509392965,269.8421237544744
301.4334449768684,281.4302009937145
313.0270390144403,293.01828152677916
324.6206330520121,304.606375780567
336.21422708958397,316.2125905216126
347.8078211271559,327.8319254610055
359.4014151647277,339.4514163292855
370.99500920229957,351.03176638839926
382.5886032398714,362.59819654654933
394.18219727744327,374.164995937291
405.77579131501517,385.7375718468054
417.369385352587,397.3117773527569
428.96297939015886,408.88598526862205
440.55657342773077,420.46012409189365
452.1501674653026,432.03414835410575
463.74376150287446,443.60818268810954
475.3373555404463,455.1822579480102
486.93094957801816,466.7564776524447
498.52454361559006,478.3306960486365
510.1181376531619,489.9049367257346
521.7117316907338,501.4855123273474
533.3053257283057,513.0683311973443
544.8989197658775,524.6511543151908
556.4925138034494,536.1967006433887
568.0861078410212,547.739538947525
579.679701878593,559.312041233472
591.2732959161649,570.8953958179142
602.8668899537367,582.4787874756175
614.4604839913087,594.0623156238868
626.0540780288806,605.6459439788109
637.6476720664524,617.2293608736474
649.2412661040242,628.8128836726096
660.8348601415961,640.3964858610763
672.4284541791679,651.9799273195296
684.0220482167398,663.563447971079
695.6156422543118,675.1470189437329
707.2092362918836,686.7304870865839
718.8028303294554,698.3140060012616
730.3964243670273,709.8975567014104
741.9900184045991,721.4810423602086
753.583612442171,733.0644684400507
765.1772064797428,744.6478786608884
776.7708005173147,756.2293925479165
788.3643945548865,767.8066219395027
799.9579885924585,779.3837157672509
811.5515826300303,790.9611391797345
823.1451766676022,802.5383307515336
834.738770705174,814.1153687168138
846.3323647427459,825.6924035077178
857.9259587803177,837.2697080746984
869.5195528178896,848.8470409243716
881.1131468554615,860.4240671063616
892.7067408930334,872.0010834966339
904.3003349306052,883.5782209679929
915.8939289681771,895.1557473525512
927.4875230057489,906.7330252442498
939.0811170433208,918.2859758619883
950.6747110808926,929.2781656602185
962.2683051184645,940.9863612978763
973.8618991560363,953.0553172154946
985.4554931936083,964.2045594535023
997.0490872311801,975.759222149822
1008.642681268752,987.8264569112836
1020.2362753063238,999.5059022205265
1031.8298693438958,1011.103091801673
1043.4234633814676,1022.6921895572452
1055.0170574190395,1034.2819496574946
1066.6106514566113,1045.8716888295962
1078.2042454941832,1057.4610068646105
1089.797839531755,1069.0505913055501
1101.3914335693269,1080.6535342044892
1112.9850276068987,1092.2618036531615
1124.5786216444706,1103.8862392152155
1136.1722156820424,1115.469073446172
1147.7658097196143,1127.1121807627956
1159.359403757186,1138.6730431921578
1170.952997794758,1150.2250574474779
1182.5465918323298,1161.7966457665193
1194.1401858699016,1173.3775982156046
1205.7337799074735,1184.9625175086871
1217.3273739450456,1196.548981060456
1228.9209679826174,1208.1360254948497
1240.5145620201893,1219.7225280315763
1252.108156057761,1231.316331449563
1263.701750095333,1242.913883769732
1275.2953441329048,1254.5115278667824
1286.8889381704766,1266.1090453246068
1298.4825322080485,1277.7066217509941
1310.0761262456203,1289.3109412211375
1321.6697202831922,1300.9139366146976
1333.263314320764,1312.4875819335416
1344.8569083583359,1324.06470206783
1356.4505023959077,1335.7412218964887
1368.0440964334796,1347.3698404053575
1379.6376904710514,1358.9662003000096
1391.2312845086235,1370.5395515445416
1402.8248785461954,1382.1148968168172
1414.4184725837672,1393.6974626811923
1426.012066621339,1405.2934626066688
1437.605660658911,1416.930190321972
1449.1992546964827,1428.5076311781272
1460.7928487340546,1440.0562586496874
1472.3864427716264,1451.8067686843656
1483.9800368091983,1463.3290463198177
1495.5736308467701,1474.9716921801257
1507.167224884342,1486.542463425755
1518.7608189219138,1498.0872891553631
1530.3544129594857,1509.7071667191503
1541.9480069970575,1521.3020255276738
1553.5416010346294,1532.8661676921306
1565.1351950722012,1544.4376278308348
1576.728789109773,1555.8933998005418
1588.3223831473451,1567.5789154233212
1599.915977184917,1579.1558880847024
1611.5095712224888,1590.8363105413457
1623.1031652600607,1602.3774258335504
1634.6967592976325,1613.906041827222
1646.2903533352044,1625.3519590313801
1657.8839473727762,1636.946443892125
1669.477541410348,1648.687633724154
1681.07113544792,1660.3632737255282
1692.6647294854918,1671.9448820209252
1704.2583235230636,1683.5296892901338
1715.8519175606355,1695.1310429979087
1727.4455115982073,1706.7384841826433
1739.0391056357792,1718.4923407272197
1750.632699673351,1730.200457328242
1762.226293710923,1741.6720669880426
1773.819887748495,1753.1322267941293
1785.4134817860668,1764.5974420699924
1797.0070758236386,1776.1706505555708
1808.6006698612105,1787.7808202502913
1820.1942638987823,1799.3910401195799
1831.7878579363542,1811.0014829069241
1843.381451973926,1822.6139151290784
1854.9750460114979,1834.2263325530016
1866.5686400490697,1845.8387313077424
1878.1622340866415,1857.451106323694
1889.7558281242134,1869.0633708766622
1901.3494221617852,1880.6755093350453
1912.943016199357,1892.2876438294886
1924.536610236929,1903.8970089203144
1936.1302042745008,1915.4762910170355
1947.7237983120726,1927.062339512675
1959.3173923496447,1938.6808499047017
1970.9109863872166,1950.2384616959364
1982.5045804247884,1961.795571070794
1994.0981744623602,1973.3528823089605
2005.691768499932,1984.9102406683367
2017.285362537504,1996.4664074546315
2028.8789565750758,2008.037301201232
2040.4725506126476,2019.8250981902079
2052.0661446502195,2031.614965474128
2063.6597386877916,2043.404535545413
2075.253332725363,2055.194370673482
2086.8469267629353,2066.9840882892568
2098.440520800507,2078.734777173744
2110.034114838079,2090.325435881916
2121.6277088756506,2101.6034956058106
2133.2213029132226,2112.8804531980577
2144.8148969507943,2124.154702573178
2156.4084909883663,2135.610038344427
2168.002085025938,2146.7117222994
2179.59567906351,2158.490069618552
2191.1892731010817,2170.4001067518407
2202.7828671386537,2181.7313213654083
2214.3764611762253,2193.163416508759
2225.9700552137974,2205.1059837381695
2237.5636492513695,2216.8669459420503
2249.157243288941,2228.382063164131
2260.750837326513,2240.111414451349
