s_m,sfov_m
0.0,300.0
11.593594037571862,300.0
23.187188075143723,311.59359403757185
34.780782112715585,323.1871880751437
46.374376150287446,334.7807821127156
57.96797018785931,346.37437615028745
69.56156422543117,357.9679701878593
81.15515826300303,369.5615642254312
92.74875230057489,381.15515826300305
104.34234633814675,392.7487523005749
115.93594037571862,404.34234633814674
127.52953441329048,415.9359403757186
139.12312845086234,427.5295344132905
150.7167224884342,439.12312845086234
162.31031652600606,450.7167224884342
173.90391056357794,462.3103165260061
185.49750460114979,473.90391056357794
197.09109863872163,485.4975046011498
208.6846926762935,497.09109863872163
220.27828671386538,508.6846926762935
231.87188075143723,520.2782867138653
243.46547478900908,531.8718807514372
255.05906882658095,543.465474789009
266.65266286415283,555.059068826581
278.2462569017247,566.6526628641528
289.8398509392965,578.2462569017247
301.4334449768684,589.8398509392965
313.0270390144403,601.4334449768684
324.6206330520121,613.0270390144403
336.21422708958397,624.6206330520122
347.8078211271559,636.214227089584
359.4014151647277,647.8078211271559
370.99500920229957,659.4014151647277
382.5886032398714,670.9950092022996
394.18219727744327,682.5886032398714
405.77579131501517,694.1821972774433
417.369385352587,705.7757913150151
428.96297939015886,717.369385352587
440.55657342773077,728.9629793901588
452.1501674653026,740.5565734277308
463.74376150287446,752.1501674653026
475.3373555404463,763.7437615028745
486.93094957801816,775.3373555404463
498.52454361559006,786.9309495780182
510.1181376531619,798.5245436155901
521.7117316907338,810.118137653162
533.3053257283057,821.7117316907338
544.8989197658775,833.3053257283057
556.4925138034494,844.8989197658775
568.0861078410212,856.4925138034494
579.679701878593,868.0861078410212
591.2732959161649,879.679701878593
602.8668899537367,891.2732959161649
614.4604839913087,902.8668899537367
626.0540780288806,914.4604839913087
637.6476720664524,926.0540780288806
649.2412661040242,937.6476720664524
660.8348601415961,949.2412661040242
672.4284541791679,960.8348601415961
684.0220482167398,972.4284541791679
695.6156422543118,984.0220482167398
707.2092362918836,995.6156422543118
718.8028303294554,1007.2092362918836
730.3964243670273,1018.8028303294554
741.9900184045991,1030.3964243670273
753.583612442171,1041.9900184045991
765.1772064797428,1053.583612442171
776.7708005173147,1065.1772064797428
788.3643945548865,1076.7708005173147
799.9579885924585,1088.3643945548865
811.5515826300303,1099.9579885924586
823.1451766676022,1111.5515826300302
834.738770705174,1123.1451766676023
846.3323647427459,1134.738770705174
857.9259587803177,1146.332364742746
869.5195528178896,1157.9259587803176
881.1131468554615,1169.5195528178897
892.7067408930334,1181.1131468554615
904.3003349306052,904.5
915.8939289681771,904.5
927.4875230057489,927.5
939.0811170433208,927.5
950.6747110808926,939.5
962.2683051184645,951.0
973.8618991560363,962.5
985.4554931936083,974.0
997.0490872311801,985.5
1008.642681268752,997.5
1020.2362753063238,1009.0
1031.8298693438958,1020.5
1043.4234633814676,1043.5
1055.0170574190395,1043.5
1066.6106514566113,1055.5
1078.2042454941832,1067.0
1089.797839531755,1078.5
1101.3914335693269,1090.0
1112.9850276068987,1101.5
1124.5786216444706,1113.0
1136.1722156820424,1125.0
1147.7658097196143,1136.5
1159.359403757186,1148.0
1170.952997794758,1159.5
1182.5465918323298,1171.0
1194.1401858699016,1183.0
1205.7337799074735,1194.5
1217.3273739450456,1206.0
1228.9209679826174,1217.5
1240.5145620201893,1229.0
1252.108156057761,1252.5
1263.701750095333,1252.5
1275.2953441329048,1264.0
1286.8889381704766,1275.5
1298.4825322080485,1287.0
1310.0761262456203,1298.5
1321.6697202831922,1310.5
1333.263314320764,1322.0
1344.8569083583359,1333.5
1356.4505023959077,1345.0
1368.0440964334796,1356.5
1379.6376904710514,1368.5
1391.2312845086235,1380.0
1402.8248785461954,1391.5
1414.4184725837672,1403.0
1426.012066621339,1414.5
1437.605660658911,1426.5
1449.1992546964827,1438.0
1460.7928487340546,1449.5
1472.3864427716264,1461.0
1483.9800368091983,1472.5
1495.5736308467701,1484.0
1507.167224884342,1496.0
1518.7608189219138,1507.5
