s_m,sfov_m
0.0,300.0
11.593594037571862,311.59359403757185
23.187188075143723,323.1871880751437
34.780782112715585,334.7807821127156
46.374376150287446,346.37437615028745
57.96797018785931,357.9679701878593
69.56156422543117,369.5615642254312
81.15515826300303,381.15515826300305
92.74875230057489,392.7487523005749
104.34234633814675,404.34234633814674
115.93594037571862,415.9359403757186
127.52953441329048,427.5295344132905
139.12312845086234,439.12312845086234
150.7167224884342,450.7167224884342
162.31031652600606,462.3103165260061
173.90391056357794,473.90391056357794
185.49750460114979,485.4975046011498
197.09109863872163,497.09109863872163
208.6846926762935,508.6846926762935
220.27828671386538,520.2782867138653
231.87188075143723,531.8718807514372
243.46547478900908,543.465474789009
255.05906882658095,555.059068826581
266.65266286415283,566.6526628641528
278.2462569017247,578.2462569017247
289.8398509392965,589.8398509392965
301.4334449768684,601.4334449768684
313.0270390144403,613.0270390144403
324.6206330520121,624.6206330520122
336.21422708958397,636.214227089584
347.8078211271559,647.8078211271559
359.4014151647277,659.4014151647277
370.99500920229957,670.9950092022996
382.5886032398714,682.5886032398714
394.18219727744327,694.1821972774433
405.77579131501517,705.7757913150151
417.369385352587,717.369385352587
428.96297939015886,728.9629793901588
440.55657342773077,740.5565734277308
452.1501674653026,752.1501674653026
463.74376150287446,763.7437615028745
475.3373555404463,775.3373555404463
486.93094957801816,786.9309495780182
498.52454361559006,798.5245436155901
510.1181376531619,810.118137653162
521.7117316907338,821.7117316907338
533.3053257283057,833.3053257283057
544.8989197658775,844.8989197658775
556.4925138034494,856.4925138034494
568.0861078410212,868.0861078410212
579.679701878593,879.679701878593
591.2732959161649,891.2732959161649
602.8668899537367,902.8668899537367
614.4604839913087,914.4604839913087
626.0540780288806,926.0540780288806
637.6476720664524,937.6476720664524
649.2412661040242,949.2412661040242
660.8348601415961,960.8348601415961
672.4284541791679,972.4284541791679
684.0220482167398,984.0220482167398
695.6156422543118,995.6156422543118
707.2092362918836,1007.2092362918836
718.8028303294554,1018.8028303294554
730.3964243670273,1030.3964243670273
741.9900184045991,1041.9900184045991
753.583612442171,1053.583612442171
765.1772064797428,1065.1772064797428
776.7708005173147,1076.7708005173147
788.3643945548865,1088.3643945548865
799.9579885924585,1099.9579885924586
811.5515826300303,1111.5515826300302
823.1451766676022,1123.1451766676023
834.738770705174,1134.738770705174
846.3323647427459,1146.332364742746
857.9259587803177,1157.9259587803176
869.5195528178896,1169.5195528178897
881.1131468554615,1181.1131468554615
892.7067408930334,1192.7067408930334
904.3003349306052,1204.3003349306052
915.8939289681771,1215.893928968177
927.4875230057489,1215.893928968177
939.0811170433208,939.5
950.6747110808926,951.0
962.2683051184645,962.5
973.8618991560363,974.0
985.4554931936083,985.5
997.0490872311801,997.5
1008.642681268752,1009.0
1020.2362753063238,1020.5
1031.8298693438958,1331.8298693438958
1043.4234633814676,1331.8298693438958
1055.0170574190395,1055.5
1066.6106514566113,1067.0
1078.2042454941832,1078.5
1089.797839531755,1090.0
1101.3914335693269,1101.5
1112.9850276068987,1113.0
1124.5786216444706,1125.0
1136.1722156820424,1136.5
1147.7658097196143,1148.0
1159.359403757186,1159.5
1170.952997794758,1171.0
1182.5465918323298,1183.0
1194.1401858699016,1494.1401858699016
1205.7337799074735,1505.7337799074735
1217.3273739450456,1505.7337799074735
1228.9209679826174,1229.0
1240.5145620201893,1540.5145620201893
1252.108156057761,1552.108156057761
1263.701750095333,1552.108156057761
1275.2953441329048,1275.5
1286.8889381704766,1287.0
1298.4825322080485,1298.5
1310.0761262456203,1310.5
1321.6697202831922,1322.0
1333.263314320764,1333.5
1344.8569083583359,1345.0
1356.4505023959077,1356.5
1368.0440964334796,1368.5
1379.6376904710514,1380.0
1391.2312845086235,1391.5
1402.8248785461954,1702.8248785461954
1414.4184725837672,1702.8248785461954
1426.012066621339,1426.5
1437.605660658911,1438.0
1449.1992546964827,1449.5
1460.7928487340546,1461.0
1472.3864427716264,1472.5
1483.9800368091983,1484.0
1495.5736308467701,1496.0
1507.167224884342,1507.5
1518.7608189219138,1519.0
1530.3544129594857,1530.5
1541.9480069970575,1542.0
1553.5416010346294,1554.0
1565.1351950722012,1565.5
1576.728789109773,1577.0
1588.3223831473451,1588.5
1599.915977184917,1600.0
1611.5095712224888,1612.0
1623.1031652600607,1623.5
1634.6967592976325,1635.0
1646.2903533352044,1646.5
1657.8839473727762,1658.0
1669.477541410348,1669.5
1681.07113544792,1681.5
1692.6647294854918,1693.0
1704.2583235230636,1704.5
1715.8519175606355,1716.0
1727.4455115982073,1727.5
1739.0391056357792,1739.5
1750.632699673351,1751.0
1762.226293710923,1762.5
1773.819887748495,2073.8198877484947
1785.4134817860668,2085.4134817860668
1797.0070758236386,2097.007075823639
1808.6006698612105,2108.6006698612105
1820.1942638987823,2120.194263898782
1831.7878579363542,2131.787857936354
1843.381451973926,2143.3814519739262
1854.9750460114979,2154.975046011498
1866.5686400490697,2166.5686400490695
1878.1622340866415,2178.1622340866415
1889.7558281242134,2189.7558281242136
1901.3494221617852,2201.3494221617852
1912.943016199357,2212.943016199357
1924.536610236929,2224.536610236929
1936.1302042745008,2236.130204274501
1947.7237983120726,2247.7237983120726
1959.3173923496447,2259.3173923496447
1970.9109863872166,2270.9109863872163
1982.5045804247884,2270.9109863872163
1994.0981744623602,1994.5
2005.691768499932,2006.0
2017.285362537504,2317.2853625375037
2028.8789565750758,2328.878956575076
2040.4725506126476,2340.472550612648
2052.0661446502195,2352.0661446502195
2063.6597386877916,2363.6597386877916
2075.253332725363,2375.253332725363
2086.8469267629353,2386.8469267629353
